id,item_id,dept_id,cat_id,store_id,state_id,d_1,d_2,d_3,d_4,d_5,d_6,d_7,d_8,d_9,d_10,d_11,d_12,d_13,d_14,d_15,d_16,d_17,d_18,d_19,d_20,d_21,d_22,d_23,d_24,d_25,d_26,d_27,d_28,d_29,d_30,d_31,d_32,d_33,d_34,d_35,d_36,d_37,d_38,d_39,d_40,d_41,d_42,d_43,d_44,d_45,d_46,d_47,d_48,d_49,d_50,d_51,d_52,d_53,d_54,d_55,d_56,d_57,d_58,d_59,d_60
HOBBIES_1_352_CA_1_validation,HOBBIES_1_352,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_1_472_CA_1_validation,HOUSEHOLD_1_472,HOUSEHOLD_1,HOUSEHOLD,CA_1,CA,0,1,0,0,1,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,2,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0
HOUSEHOLD_2_077_CA_1_validation,HOUSEHOLD_2_077,HOUSEHOLD_2,HOUSEHOLD,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_349_CA_1_validation,HOUSEHOLD_2_349,HOUSEHOLD_2,HOUSEHOLD,CA_1,CA,0,5,1,0,1,0,0,0,2,0,0,1,3,3,2,1,1,0,0,1,2,3,0,2,1,0,1,1,0,2,0,0,1,2,3,0,1,1,0,2,0,1,0,0,0,0,0,0,0,1,2,0,2,0,0,0,3,1,0,1
HOUSEHOLD_2_422_CA_1_validation,HOUSEHOLD_2_422,HOUSEHOLD_2,HOUSEHOLD,CA_1,CA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
FOODS_2_135_CA_1_validation,FOODS_2_135,FOODS_2,FOODS,CA_1,CA,1,3,0,0,2,0,0,3,5,0,5,0,0,2,1,2,2,0,0,2,2,6,0,0,3,2,0,1,1,4,0,1,0,0,4,8,1,1,2,0,1,3,4,2,2,5,1,1,0,6,2,0,3,1,0,3,4,2,0,2
FOODS_2_257_CA_1_validation,FOODS_2_257,FOODS_2,FOODS,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_3_145_CA_1_validation,FOODS_3_145,FOODS_3,FOODS,CA_1,CA,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
FOODS_3_439_CA_1_validation,FOODS_3_439,FOODS_3,FOODS,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_3_452_CA_1_validation,FOODS_3_452,FOODS_3,FOODS,CA_1,CA,1,0,0,0,0,1,0,2,1,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,2,0,1,0,1,0,0,0,2,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,1,0
HOBBIES_1_352_CA_2_validation,HOBBIES_1_352,HOBBIES_1,HOBBIES,CA_2,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_1_472_CA_2_validation,HOUSEHOLD_1_472,HOUSEHOLD_1,HOUSEHOLD,CA_2,CA,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,1,1,2,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0
HOUSEHOLD_2_077_CA_2_validation,HOUSEHOLD_2_077,HOUSEHOLD_2,HOUSEHOLD,CA_2,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_349_CA_2_validation,HOUSEHOLD_2_349,HOUSEHOLD_2,HOUSEHOLD,CA_2,CA,4,1,0,0,1,0,5,6,0,0,0,0,5,1,4,6,1,3,0,0,3,4,4,5,4,4,2,3,2,2,7,2,4,2,1,0,4,3,3,3,0,6,1,2,5,0,6,1,1,1,7,3,3,0,2,6,3,3,4,2
HOUSEHOLD_2_422_CA_2_validation,HOUSEHOLD_2_422,HOUSEHOLD_2,HOUSEHOLD,CA_2,CA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FOODS_2_135_CA_2_validation,FOODS_2_135,FOODS_2,FOODS,CA_2,CA,0,3,1,2,0,0,0,5,0,2,2,0,0,0,0,6,1,1,0,1,1,0,1,3,0,0,0,0,1,1,0,0,0,0,0,1,3,1,0,0,1,1,0,5,3,1,0,0,0,0,9,10,0,0,0,0,5,0,1,0
FOODS_2_257_CA_2_validation,FOODS_2_257,FOODS_2,FOODS,CA_2,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_3_145_CA_2_validation,FOODS_3_145,FOODS_3,FOODS,CA_2,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_3_439_CA_2_validation,FOODS_3_439,FOODS_3,FOODS,CA_2,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_3_452_CA_2_validation,FOODS_3_452,FOODS_3,FOODS,CA_2,CA,1,0,0,0,0,0,0,1,2,1,1,0,3,0,2,3,0,0,0,0,0,1,2,0,1,1,0,2,1,1,1,0,1,1,1,2,0,1,1,0,0,0,2,0,0,1,0,1,1,4,0,1,0,0,0,1,0,1,0,0
HOBBIES_1_352_CA_3_validation,HOBBIES_1_352,HOBBIES_1,HOBBIES,CA_3,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_1_472_CA_3_validation,HOUSEHOLD_1_472,HOUSEHOLD_1,HOUSEHOLD,CA_3,CA,0,0,1,1,0,0,1,0,0,0,0,2,1,0,1,0,1,0,1,0,0,0,0,0,0,1,2,1,0,2,0,0,1,2,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,2,0,0,0,0
HOUSEHOLD_2_077_CA_3_validation,HOUSEHOLD_2_077,HOUSEHOLD_2,HOUSEHOLD,CA_3,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_349_CA_3_validation,HOUSEHOLD_2_349,HOUSEHOLD_2,HOUSEHOLD,CA_3,CA,1,0,1,3,1,0,0,0,4,1,0,0,6,0,0,2,1,0,7,1,0,6,0,0,3,0,3,3,2,4,0,3,1,0,1,3,4,5,0,0,3,0,1,4,1,2,0,2,0,2,1,0,0,0,0,0,2,1,0,0
HOUSEHOLD_2_422_CA_3_validation,HOUSEHOLD_2_422,HOUSEHOLD_2,HOUSEHOLD,CA_3,CA,0,0,0,1,1,0,1,1,0,1,3,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,2,1,2,1,3,0,3,0,0,3,2,0,2,0,0,0,0,0,0,0,0,1,1,1
FOODS_2_135_CA_3_validation,FOODS_2_135,FOODS_2,FOODS,CA_3,CA,2,6,0,2,1,0,0,1,7,0,2,0,0,0,2,2,0,1,0,0,0,3,3,0,0,2,2,0,6,3,2,1,1,0,1,3,4,2,4,0,2,0,3,4,2,0,2,0,2,2,5,2,2,0,0,1,2,0,0,1
FOODS_2_257_CA_3_validation,FOODS_2_257,FOODS_2,FOODS,CA_3,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_3_145_CA_3_validation,FOODS_3_145,FOODS_3,FOODS,CA_3,CA,2,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_3_439_CA_3_validation,FOODS_3_439,FOODS_3,FOODS,CA_3,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_3_452_CA_3_validation,FOODS_3_452,FOODS_3,FOODS,CA_3,CA,0,0,0,0,1,0,2,2,0,1,0,0,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOBBIES_1_352_CA_4_validation,HOBBIES_1_352,HOBBIES_1,HOBBIES,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_1_472_CA_4_validation,HOUSEHOLD_1_472,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HOUSEHOLD_2_077_CA_4_validation,HOUSEHOLD_2_077,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_349_CA_4_validation,HOUSEHOLD_2_349,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,1,1,0,0,1,2,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,1,0,0
HOUSEHOLD_2_422_CA_4_validation,HOUSEHOLD_2_422,HOUSEHOLD_2,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_2_135_CA_4_validation,FOODS_2_135,FOODS_2,FOODS,CA_4,CA,0,1,2,0,1,0,0,1,0,1,0,2,0,0,1,3,0,0,0,0,0,2,0,0,0,1,1,0,2,2,0,3,1,0,0,0,0,0,4,0,3,0,0,0,2,0,0,2,1,0,0,0,1,0,0,1,0,1,1,0
FOODS_2_257_CA_4_validation,FOODS_2_257,FOODS_2,FOODS,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_3_145_CA_4_validation,FOODS_3_145,FOODS_3,FOODS,CA_4,CA,3,1,4,2,2,1,1,1,1,2,1,0,0,0,0,2,1,1,3,0,0,0,0,0,0,0,1,2,2,0,1,1,0,1,0,0,2,0,4,1,1,1,2,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0
FOODS_3_439_CA_4_validation,FOODS_3_439,FOODS_3,FOODS,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_3_452_CA_4_validation,FOODS_3_452,FOODS_3,FOODS,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
HOBBIES_1_352_TX_1_validation,HOBBIES_1_352,HOBBIES_1,HOBBIES,TX_1,TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_1_472_TX_1_validation,HOUSEHOLD_1_472,HOUSEHOLD_1,HOUSEHOLD,TX_1,TX,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,4,0,0,0
HOUSEHOLD_2_077_TX_1_validation,HOUSEHOLD_2_077,HOUSEHOLD_2,HOUSEHOLD,TX_1,TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSEHOLD_2_349_TX_1_validation,HOUSEHOLD_2_349,HOUSEHOLD_2,HOUSEHOLD,TX_1,TX,0,2,1,0,3,0,0,0,0,0,1,0,0,2,0,1,0,1,0,1,1,0,1,0,0,0,1,2,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,3,0,5,2,0
HOUSEHOLD_2_422_TX_1_validation,HOUSEHOLD_2_422,HOUSEHOLD_2,HOUSEHOLD,TX_1,TX,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_2_135_TX_1_validation,FOODS_2_135,FOODS_2,FOODS,TX_1,TX,0,2,3,2,5,8,1,5,0,5,0,1,0,3,3,2,2,5,0,5,0,10,3,1,1,1,0,4,2,4,6,2,1,3,0,5,4,1,3,0,0,1,3,4,3,0,1,3,1,3,4,1,7,0,1,0,2,3,1,0
FOODS_2_257_TX_1_validation,FOODS_2_257,FOODS_2,FOODS,TX_1,TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_3_145_TX_1_validation,FOODS_3_145,FOODS_3,FOODS,TX_1,TX,1,0,0,1,1,3,0,1,0,0,2,0,2,2,1,0,1,0,0,0,1,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
FOODS_3_439_TX_1_validation,FOODS_3_439,FOODS_3,FOODS,TX_1,TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
